speed,length,tem,y
6.875,134.448,1444.875,104.14
7.25,134.586,1445.625,104.139
8.625,134.732,1444.75,104.171
7,134.869,1445.125,104.13
7.5,134.988,1444.75,104.093
9.375,135.123,1444.875,104.114
7.75,135.256,1444.875,104.083
8.375,135.36,1444.875,104.057
8.125,135.491,1444.875,104.072
8.25,135.6,1444.75,104.068
6.625,135.73,1444.625,104.037
7.375,135.865,1444.875,104.033
6.875,135.937,1444.875,104.025
5.5,136.086,1444.5,104.006
6.625,136.154,1445.375,104.004
5.25,136.24,1444.5,103.947
5,136.314,1443.5,103.909
5.375,136.386,1443,103.9
5.625,136.482,1444,103.922
7.25,136.582,1444.75,103.961
6.5,136.694,1444.875,103.979
7,136.8,1445,103.996
7.25,136.915,1444.875,104.023
8,137.045,1445,104.066
6.5,137.166,1444.75,104.034
5.625,137.275,1444.75,104.025
6.75,137.401,1444.875,104.041
5.25,137.51,1444.5,104.009
6.875,137.617,1444.5,104.023
7,137.724,1444.375,103.999
9.5,137.847,1444.875,104.055
9.625,137.985,1445.25,104.099
10,138.134,1444.875,104.143
8.5,138.285,1445.125,104.154
8,138.427,1445.5,104.143
7.375,138.564,1444.5,104.13
9.25,138.757,1444.75,104.15
7.875,138.846,1445,104.122
8.75,138.997,1444.75,104.151
8.125,139.143,1444.5,104.126
8.25,139.267,1444.75,104.094
10.25,139.409,1445.125,104.125
9.25,139.553,1444.75,104.135
8.125,139.692,1444.75,104.118
6.125,139.804,1444.5,104.052
6.25,139.904,1444.125,104.027
8.875,140.032,1444.75,104.08
7.75,140.174,1444.875,104.081
8.125,140.314,1445.375,104.094
7.375,140.449,1444.5,104.084
8.25,140.584,1444.75,104.085
9,140.723,1444.625,104.099
9.125,140.851,1444.75,104.085
7.75,140.97,1444.625,104.055
9,141.123,1445.625,104.106
7.375,141.249,1444.5,104.081
6.625,141.375,1444.5,104.067
6.75,141.5,1444.625,104.057
7.125,141.614,1443,104.04
6.5,141.726,1443,104.007
8.75,141.861,1445.75,104.062
